Date,Country,Region,Petrol_Price_USD_per_Liter,Diesel_Price_USD_per_Liter,Natural_Gas_Price_USD_per_MMBtu,Crude_Oil_Price_USD_per_Barrel,Inflation_Rate (%),Exchange_Rate_vs_USD,GDP_Growth (%),Supply_Index,Demand_Index,Geopolitical_Risk_Index,Event_Flag,Event_Description,Currency_Devaluation (%),Subsidy_Level,Tax_Rate_on_Fuel (%),Petrol_7d_MA,Petrol_28d_vol,Petrol_lag_1,Crude_lag_1
2015-06-01,Brazil,Latin America,0.744,0.656,1.745,55.69,2.17,5.2269,1.49,64.9,26.0,29.7,0,,-0.03,Medium,20.0,0.7575000000000001,0.06032528749348069,0.808,59.82
2015-06-08,Brazil,Latin America,0.731,0.668,1.951,55.15,1.94,5.3095,2.15,51.8,53.2,27.8,0,,0.42,Medium,20.0,0.7505,0.06008285524645192,0.744,55.69
2015-06-15,Brazil,Latin America,0.67,0.618,1.5,51.31,2.83,5.2277,3.56,60.8,38.6,20.0,0,,-0.98,Medium,20.0,0.73825,0.06394798070623045,0.731,55.15
2015-06-22,Brazil,Latin America,0.686,0.608,1.5,51.28,1.95,5.1604,0.7,44.1,38.5,23.2,0,,0.71,Medium,20.0,0.7077500000000001,0.06355549827502537,0.67,51.31
2015-06-29,Brazil,Latin America,0.677,0.617,1.5,51.81,2.22,5.2393,1.77,49.9,30.4,28.1,0,,0.86,Medium,20.0,0.6910000000000001,0.06355744711952542,0.686,51.28
2015-07-06,Brazil,Latin America,0.68,0.592,1.5,50.2,1.85,5.3171,1.58,45.1,58.8,21.2,0,,-0.22,Medium,20.0,0.67825,0.06255279893753295,0.677,51.81
2015-07-13,Brazil,Latin America,0.637,0.576,1.5,48.69,1.39,5.2729,1.33,38.6,36.8,21.5,0,,-0.1,Medium,20.0,0.67,0.05770007905929278,0.68,50.2
2015-07-20,Brazil,Latin America,0.604,0.563,1.66,46.71,1.9,5.1255,3.44,53.6,51.6,20.6,0,,0.13,Medium,20.0,0.6495,0.0573997094265426,0.637,48.69
2015-07-27,Brazil,Latin America,0.62,0.567,1.649,47.45,2.04,5.0969,3.28,38.6,35.4,27.5,0,,-0.9,Medium,20.0,0.63525,0.05783194315736783,0.604,46.71
2015-08-03,Brazil,Latin America,0.612,0.534,1.5,44.16,2.41,5.3062,3.18,47.5,54.6,27.2,0,,-0.07,Medium,20.0,0.61825,0.0578212642909765,0.62,47.45
2015-08-10,Brazil,Latin America,0.659,0.598,1.5,49.0,1.0,5.1484,0.76,61.3,43.7,26.1,0,,0.14,Medium,20.0,0.62375,0.06231488012407979,0.612,44.16
2015-08-17,Brazil,Latin America,0.594,0.54,1.5,44.41,2.64,5.1074,1.7,49.6,50.1,23.6,0,,0.37,Medium,20.0,0.62125,0.05270767811541277,0.659,49.0
2015-08-24,Brazil,Latin America,0.599,0.528,1.5,43.26,1.88,5.1828,2.0,43.6,45.3,22.7,0,,0.37,Medium,20.0,0.616,0.050385362550567754,0.594,44.41
2015-08-31,Brazil,Latin America,0.596,0.535,1.5,45.17,1.52,5.2134,0.44,40.4,55.5,24.5,0,,-0.92,Medium,20.0,0.612,0.05049671452918232,0.599,43.26
2015-09-07,Brazil,Latin America,0.53,0.464,1.5,39.52,2.45,5.1947,1.91,38.8,55.2,27.2,0,,0.45,Medium,20.0,0.57975,0.054297832857440276,0.596,45.17
2015-09-14,Brazil,Latin America,0.549,0.482,1.5,42.23,2.17,5.2109,-0.38,43.6,34.3,24.5,0,,0.41,Medium,20.0,0.5685,0.055237881034719334,0.53,39.52
2015-09-21,Brazil,Latin America,0.499,0.46,1.5,38.1,1.53,5.1203,4.24,45.2,45.1,24.1,0,,0.91,Medium,20.0,0.5435,0.05918850574189526,0.549,42.23
2015-09-28,Brazil,Latin America,0.49,0.446,1.5,37.54,2.91,5.1219,1.05,55.0,43.3,29.5,0,,-0.62,Medium,20.0,0.517,0.05857853790924345,0.499,38.1
2015-10-05,Brazil,Latin America,0.555,0.5,1.5,40.47,2.38,5.1643,1.16,47.6,47.4,25.0,0,,0.07,Medium,20.0,0.52325,0.07265577744603037,0.49,37.54
2015-10-12,Brazil,Latin America,0.56,0.498,1.5,42.22,2.34,5.1446,2.27,36.3,37.4,29.4,0,,0.42,Medium,20.0,0.526,0.071510483107494,0.555,40.47
2015-10-19,Brazil,Latin America,0.538,0.509,1.5,42.98,2.85,5.1591,4.19,41.3,61.3,20.5,0,,0.13,Medium,20.0,0.5357500000000001,0.07148753450850372,0.56,42.22
2015-10-26,Brazil,Latin America,0.531,0.474,1.5,40.29,1.79,5.1653,-0.24,49.0,51.8,23.6,0,,0.37,Medium,20.0,0.546,0.07148802033833568,0.538,42.98
2015-11-02,Brazil,Latin America,0.537,0.509,1.5,41.4,1.92,5.1886,1.21,27.6,31.3,21.1,0,,0.33,Medium,20.0,0.5415,0.06664288882623454,0.531,40.29
2015-11-09,Brazil,Latin America,0.54,0.499,1.5,41.69,1.35,5.1411,-0.39,68.1,65.5,27.5,0,,0.41,Medium,20.0,0.5365,0.06131362162541897,0.537,41.4
2015-11-16,Brazil,Latin America,0.577,0.529,1.5,43.07,2.25,5.1977,1.19,39.0,40.7,29.4,0,,-0.57,Medium,20.0,0.54625,0.06496189879991167,0.54,41.69
2015-11-23,Brazil,Latin America,0.547,0.492,1.5,41.74,2.56,5.2239,1.71,50.3,46.7,21.8,0,,-0.34,Medium,20.0,0.55025,0.06660826052993585,0.577,43.07
2015-11-30,Brazil,Latin America,0.654,0.593,1.515,49.23,1.86,5.1513,0.76,52.7,64.2,29.1,0,,-0.32,Medium,20.0,0.5795,0.07983482730987394,0.547,41.74
2015-12-07,Brazil,Latin America,0.609,0.549,1.5,46.83,1.79,5.1629,0.65,47.3,58.0,24.5,0,,-0.3,Medium,20.0,0.59675,0.08362352675438504,0.654,49.23
2015-12-14,Brazil,Latin America,0.588,0.531,1.5,43.87,2.2,5.2216,0.96,63.7,54.7,28.9,0,,0.04,Medium,20.0,0.5995,0.07875421580686441,0.609,46.83
2015-12-21,Brazil,Latin America,0.659,0.601,1.5,49.98,1.79,5.1038,0.07,50.0,51.7,26.7,0,,-0.38,Medium,20.0,0.6275,0.08329358930520285,0.588,43.87
2015-12-28,Brazil,Latin America,0.651,0.585,1.749,49.45,3.17,5.2053,2.33,50.3,46.7,26.8,0,,-0.56,Medium,20.0,0.62675,0.07700307309597448,0.659,49.98
2016-01-04,Brazil,Latin America,0.643,0.58,1.5,48.47,2.04,5.2469,1.76,54.8,49.8,20.6,0,,0.38,Medium,20.0,0.6352500000000001,0.07742118108481696,0.651,49.45
2016-01-11,Brazil,Latin America,0.652,0.585,1.642,50.75,2.26,5.1611,2.76,36.4,58.2,21.9,0,,-0.23,Medium,20.0,0.65125,0.07558431584317452,0.643,48.47
2016-01-18,Brazil,Latin America,0.71,0.659,1.666,54.77,1.77,5.1865,0.58,52.2,61.0,24.6,0,,-0.98,Medium,20.0,0.664,0.07741857650006025,0.652,50.75
2016-01-25,Brazil,Latin America,0.764,0.681,1.958,58.02,2.67,5.2705,5.45,54.5,54.1,27.6,0,,0.96,Medium,20.0,0.6922499999999999,0.07846810711917776,0.71,54.77
2016-02-01,Brazil,Latin America,0.716,0.636,1.5,53.83,2.17,5.122,-0.44,59.0,62.1,25.3,0,,-0.23,Medium,20.0,0.7105,0.08295667461712651,0.764,58.02
2016-02-08,Brazil,Latin America,0.713,0.637,1.853,53.53,1.94,5.2203,1.24,48.1,56.0,27.0,0,,0.39,Medium,20.0,0.7257499999999999,0.08228348256434506,0.716,53.83
2016-02-15,Brazil,Latin America,0.793,0.734,1.528,59.96,1.64,5.1809,2.9,57.6,49.4,25.3,0,,-0.02,Medium,20.0,0.7464999999999999,0.08274347876196635,0.713,53.53
2016-02-22,Brazil,Latin America,0.797,0.755,1.718,61.14,2.29,5.1939,1.28,53.5,51.0,24.8,0,,0.3,Medium,20.0,0.75475,0.06547620230072977,0.793,59.96
2016-02-29,Brazil,Latin America,0.772,0.699,1.622,59.3,2.07,5.2036,4.41,50.2,49.6,20.8,0,,1.17,Medium,20.0,0.76875,0.061720913593142364,0.797,61.14
2016-03-07,Brazil,Latin America,0.796,0.707,1.628,59.85,2.36,5.277,1.51,54.5,55.0,20.6,0,,-0.05,Medium,20.0,0.7895,0.05914933069662525,0.772,59.3
2016-03-14,Brazil,Latin America,0.772,0.711,1.835,59.0,2.46,5.2008,1.28,52.1,33.3,26.7,0,,-0.62,Medium,20.0,0.7842500000000001,0.05316969317394363,0.796,59.85
2016-03-21,Brazil,Latin America,0.775,0.679,1.5,57.29,2.85,5.1872,1.06,48.0,52.9,29.5,0,,0.35,Medium,20.0,0.77875,0.05263748158585456,0.772,59.0
2016-03-28,Brazil,Latin America,0.837,0.782,1.802,63.52,1.35,5.2972,1.48,62.3,52.2,29.6,0,,-0.89,Medium,20.0,0.7949999999999999,0.05484543678535653,0.775,57.29
2016-04-04,Brazil,Latin America,0.87,0.759,1.635,64.3,2.63,5.2334,3.33,45.1,56.3,20.5,0,,-0.31,Medium,20.0,0.8135,0.054933639471024705,0.837,63.52
2016-04-11,Brazil,Latin America,0.79,0.726,1.5,60.43,1.5,5.2735,1.42,58.1,57.5,25.6,0,,0.09,Medium,20.0,0.8180000000000001,0.060528024828134554,0.87,64.3
2016-04-18,Brazil,Latin America,0.812,0.736,1.952,61.65,1.82,5.1804,2.42,49.4,46.0,26.3,0,,-0.76,Medium,20.0,0.82725,0.05730259655582818,0.79,60.43
2016-04-25,Brazil,Latin America,0.82,0.74,1.572,60.85,2.34,5.2345,3.9,56.3,52.6,21.0,0,,0.62,Medium,20.0,0.8230000000000001,0.05297689718036487,0.812,61.65
2016-05-02,Brazil,Latin America,0.755,0.716,2.073,57.62,1.85,5.2577,1.6,64.7,43.8,24.2,0,,-0.1,Medium,20.0,0.79425,0.059211703373727595,0.82,60.85
2016-05-09,Brazil,Latin America,0.796,0.733,1.805,60.58,1.94,5.2181,3.74,48.0,59.7,27.1,0,,0.22,Medium,20.0,0.79575,0.05168600314999513,0.755,57.62
2016-05-16,Brazil,Latin America,0.844,0.755,1.801,62.52,1.88,5.2361,-0.38,49.8,44.1,22.0,0,,0.28,Medium,20.0,0.80375,0.054414194987091054,0.796,60.58
2016-05-23,Brazil,Latin America,0.778,0.679,1.5,57.13,2.42,5.2539,2.09,58.6,45.6,27.6,0,,-0.45,Medium,20.0,0.79325,0.05884932560410982,0.844,62.52
2016-05-30,Brazil,Latin America,0.811,0.726,2.087,60.69,2.18,5.2501,0.52,47.2,38.9,22.1,0,,0.6,Medium,20.0,0.80725,0.05944167049643926,0.778,57.13
2016-06-06,Brazil,Latin America,0.682,0.603,1.5,51.32,3.08,5.2621,0.12,45.0,49.7,26.2,0,,0.23,Medium,20.0,0.7787499999999999,0.07549828678937189,0.811,60.69
2016-06-13,Brazil,Latin America,0.745,0.669,1.5,56.18,2.63,5.1886,2.9,48.2,34.4,23.3,0,,-1.11,Medium,20.0,0.754,0.08084746613186375,0.682,51.32
2016-06-20,Brazil,Latin America,0.728,0.607,1.507,52.68,1.93,5.1842,5.57,44.8,48.0,26.8,0,,-0.92,Medium,20.0,0.7415,0.07693301955435725,0.745,56.18
2016-06-27,Brazil,Latin America,0.711,0.642,1.538,52.2,2.64,5.0502,2.61,63.6,44.7,28.2,0,,-0.25,Medium,20.0,0.7165,0.07548131049583144,0.728,52.68
2016-07-04,Brazil,Latin America,0.686,0.635,1.817,53.02,1.74,5.1781,0.71,49.9,45.9,20.7,0,,-0.37,Medium,20.0,0.7175,0.07183929117483286,0.711,52.2
2016-07-11,Brazil,Latin America,0.6,0.527,1.5,45.83,2.08,5.1675,-0.79,50.4,46.9,25.9,0,,-0.69,Medium,20.0,0.68125,0.0780010856500773,0.686,53.02
2016-07-18,Brazil,Latin America,0.635,0.566,1.5,47.87,2.14,5.1996,1.89,55.9,35.5,20.2,0,,-0.83,Medium,20.0,0.658,0.08099870198912745,0.6,45.83
2016-07-25,Brazil,Latin America,0.646,0.549,1.5,47.96,2.31,5.1896,2.06,38.3,49.8,26.0,0,,-0.67,Medium,20.0,0.64175,0.07912991496820489,0.635,47.87
2016-08-01,Brazil,Latin America,0.666,0.569,1.627,48.81,2.26,5.0973,1.6,52.4,43.6,23.9,0,,1.01,Medium,20.0,0.63675,0.07768142423866607,0.646,47.96
2016-08-08,Brazil,Latin America,0.611,0.532,1.5,45.8,2.26,5.1071,-1.9,48.4,57.6,26.2,0,,-0.18,Medium,20.0,0.6395,0.07655847585056885,0.666,48.81
2016-08-15,Brazil,Latin America,0.607,0.518,1.539,43.93,2.4,5.2221,0.61,39.5,41.9,28.3,0,,-0.97,Medium,20.0,0.6325000000000001,0.07469831000601022,0.611,45.8
2016-08-22,Brazil,Latin America,0.571,0.519,1.5,43.87,1.04,5.19,3.21,45.4,47.2,22.3,0,,-0.08,Medium,20.0,0.61375,0.07299738856052194,0.607,43.93
2016-08-29,Brazil,Latin America,0.609,0.559,1.624,46.1,1.92,5.1716,2.19,57.0,57.4,20.4,0,,0.86,Medium,20.0,0.5995,0.06421082739639844,0.571,43.87
2016-09-05,Brazil,Latin America,0.587,0.54,1.5,44.76,2.03,5.0896,2.75,64.7,51.8,27.2,0,,0.54,Medium,20.0,0.5934999999999999,0.056270711185621713,0.609,46.1
2016-09-12,Brazil,Latin America,0.539,0.492,1.5,40.24,2.46,5.0875,5.0,45.8,46.0,25.7,0,,-0.36,Medium,20.0,0.5765,0.05920975787955082,0.587,44.76
2016-09-19,Brazil,Latin America,0.597,0.545,1.5,44.39,2.62,5.2227,2.53,48.1,51.6,29.9,0,,0.22,Medium,20.0,0.583,0.0702044955902508,0.539,40.24
2016-09-26,Brazil,Latin America,0.562,0.512,1.5,42.24,2.11,5.1076,2.14,50.7,53.5,23.0,0,,-0.25,Medium,20.0,0.57125,0.07122237753345867,0.597,44.39
2016-10-03,Brazil,Latin America,0.584,0.539,1.571,44.12,2.08,5.2048,3.31,42.1,46.7,22.0,0,,0.64,Medium,20.0,0.5705,0.06325173594308714,0.562,42.24
2016-10-10,Brazil,Latin America,0.54,0.494,1.5,41.2,2.2,5.1544,2.8,37.2,44.3,20.9,0,,0.7,Medium,20.0,0.57075,0.06373302391613964,0.584,44.12
2016-10-17,Brazil,Latin America,0.535,0.46,1.5,40.19,2.69,5.0547,3.12,42.0,61.8,22.9,0,,0.19,Medium,20.0,0.55525,0.06309666708561333,0.54,41.2
2016-10-24,Brazil,Latin America,0.571,0.514,1.5,42.17,1.48,5.1298,2.58,46.3,58.5,27.2,0,,0.43,Medium,20.0,0.5575,0.06623195034448662,0.535,40.19
2016-10-31,Brazil,Latin America,0.55,0.497,1.5,41.7,2.53,5.0931,3.8,45.4,58.9,25.5,0,,-0.5,Medium,20.0,0.5489999999999999,0.06295440394099386,0.571,42.17
2016-11-07,Brazil,Latin America,0.578,0.511,1.581,44.34,1.98,5.1583,2.16,56.6,41.7,26.5,0,,0.05,Medium,20.0,0.5585,0.06513342198844724,0.55,41.7
2016-11-14,Brazil,Latin America,0.592,0.532,1.5,44.52,1.58,5.1533,1.47,43.9,62.3,23.6,0,,-0.07,Medium,20.0,0.57275,0.06289363287144936,0.578,44.34
2016-11-21,Brazil,Latin America,0.595,0.546,1.576,45.4,1.76,5.1672,2.05,51.5,49.3,27.7,0,,0.28,Medium,20.0,0.57875,0.05983763802189933,0.592,44.52
2016-11-28,Brazil,Latin America,0.622,0.561,1.5,46.38,2.57,5.187,1.09,50.6,49.1,28.2,0,,0.37,Medium,20.0,0.59675,0.06002751592318456,0.595,45.4
2016-12-05,Brazil,Latin America,0.614,0.538,1.502,44.72,1.74,5.1338,2.67,43.6,55.9,28.0,0,,-0.56,Medium,20.0,0.60575,0.053788659909312524,0.622,46.38
2016-12-12,Brazil,Latin America,0.638,0.572,1.5,49.44,1.96,5.1715,1.4,44.7,49.8,20.9,0,,0.17,Medium,20.0,0.61725,0.04578479395177075,0.614,44.72
2016-12-19,Brazil,Latin America,0.687,0.619,1.736,49.84,1.75,5.3329,1.14,50.1,62.0,24.5,0,,0.37,Medium,20.0,0.64025,0.04495052409760033,0.638,49.44
2016-12-26,Brazil,Latin America,0.645,0.589,1.5,49.23,2.87,5.2355,1.42,57.3,74.1,27.2,0,,0.3,Medium,20.0,0.646,0.04969377818995407,0.687,49.84
2017-01-02,Brazil,Latin America,0.691,0.608,1.627,51.97,2.08,5.1505,3.96,43.8,46.0,28.7,0,,0.1,Medium,20.0,0.66525,0.04473162907476184,0.645,49.23
2017-01-09,Brazil,Latin America,0.744,0.668,1.522,55.29,2.13,5.1949,2.59,70.0,58.2,20.4,0,,0.29,Medium,20.0,0.6917500000000001,0.046187438617359446,0.691,51.97
2017-01-16,Brazil,Latin America,0.78,0.685,1.657,59.38,2.96,5.1595,2.45,44.6,43.5,29.5,0,,-0.19,Medium,20.0,0.715,0.04506536125686952,0.744,55.29
2017-01-23,Brazil,Latin America,0.716,0.644,1.574,55.36,2.74,5.1719,2.86,52.8,47.0,20.3,0,,-0.41,Medium,20.0,0.73275,0.05223802112205407,0.78,59.38
2017-01-30,Brazil,Latin America,0.75,0.686,1.509,57.44,1.67,5.1894,1.73,55.5,64.1,23.1,0,,0.0,Medium,20.0,0.7475,0.052083773312797114,0.716,55.36
2017-02-06,Brazil,Latin America,0.751,0.687,1.602,55.29,2.2,5.3171,3.72,60.7,52.6,20.0,0,,0.1,Medium,20.0,0.7492500000000001,0.05246069396173114,0.75,57.44
2017-02-13,Brazil,Latin America,0.765,0.688,1.992,55.37,2.64,5.2647,1.9,57.4,65.0,27.4,0,,1.08,Medium,20.0,0.7455,0.05222485088547932,0.751,55.29
2017-02-20,Brazil,Latin America,0.825,0.725,1.97,61.58,1.45,5.1936,-0.11,49.2,39.1,25.3,0,,-0.48,Medium,20.0,0.7727499999999999,0.05437302320095986,0.765,55.37
2017-02-27,Brazil,Latin America,0.831,0.733,1.751,61.6,2.99,5.2603,1.44,57.2,57.4,22.9,0,,-0.71,Medium,20.0,0.793,0.05339429917287906,0.825,61.58
2017-03-06,Brazil,Latin America,0.877,0.783,2.308,66.59,1.68,5.1982,2.42,52.7,43.4,24.8,0,,-0.26,Medium,20.0,0.8245,0.05393681245784047,0.831,61.6
2017-03-13,Brazil,Latin America,0.816,0.756,2.077,62.79,2.43,5.2844,2.0,54.6,58.4,28.1,0,,0.46,Medium,20.0,0.83725,0.058319864865949825,0.877,66.59
2017-03-20,Brazil,Latin America,0.831,0.752,1.596,62.61,1.68,5.2458,1.13,60.1,53.5,28.5,0,,-0.5,Medium,20.0,0.83875,0.053034916893220554,0.816,62.79
2017-03-27,Brazil,Latin America,0.849,0.738,1.994,62.43,1.75,5.3005,2.71,48.4,42.5,24.0,0,,0.74,Medium,20.0,0.8432499999999999,0.050781032053094775,0.831,62.61
2017-04-03,Brazil,Latin America,0.78,0.722,1.77,60.52,1.73,5.365,3.49,50.5,59.0,27.4,0,,-0.51,Medium,20.0,0.819,0.054651439561137216,0.849,62.43
2017-04-10,Brazil,Latin America,0.833,0.758,1.881,64.14,1.72,5.2356,0.74,60.9,60.2,29.9,0,,0.85,Medium,20.0,0.8232499999999999,0.05631850680632391,0.78,60.52
2017-04-17,Brazil,Latin America,0.877,0.754,2.263,63.29,1.61,5.2854,-0.05,61.9,47.7,23.9,0,,0.98,Medium,20.0,0.83475,0.05004663562550916,0.833,64.14
2017-04-24,Brazil,Latin America,0.804,0.77,1.604,62.97,1.81,5.1913,1.0,58.6,39.7,29.9,0,,0.23,Medium,20.0,0.8235,0.05685836871727685,0.877,63.29
2017-05-01,Brazil,Latin America,0.793,0.72,2.009,59.85,1.65,5.263,3.21,56.5,57.1,21.8,0,,-0.82,Medium,20.0,0.82675,0.057166350327364335,0.804,62.97
2017-05-08,Brazil,Latin America,0.856,0.734,2.127,63.18,3.06,5.3257,2.61,43.7,32.5,27.1,0,,-0.3,Medium,20.0,0.8325,0.060951864231058604,0.793,59.85
2017-05-15,Brazil,Latin America,0.734,0.686,1.819,56.07,2.01,5.1823,2.96,52.6,32.7,21.4,0,,-0.29,Medium,20.0,0.79675,0.07127300483723625,0.856,63.18
2017-05-22,Brazil,Latin America,0.783,0.718,1.792,60.19,2.81,5.1564,0.96,49.2,49.1,25.9,0,,-0.68,Medium,20.0,0.7915000000000001,0.07437827115017923,0.734,56.07
2017-05-29,Brazil,Latin America,0.861,0.752,2.112,64.46,1.79,5.1845,3.74,53.2,51.2,21.6,0,,0.32,Medium,20.0,0.8085,0.07848294665342545,0.783,60.19
2017-06-05,Brazil,Latin America,0.723,0.618,1.725,55.45,3.06,5.1829,4.22,43.5,48.8,25.8,0,,-0.02,Medium,20.0,0.77525,0.08952812721411521,0.861,64.46
2017-06-12,Brazil,Latin America,0.699,0.645,1.5,53.89,2.67,5.1886,2.31,54.5,45.2,26.0,0,,-0.0,Medium,20.0,0.7665,0.08947890740425464,0.723,55.45
2017-06-19,Brazil,Latin America,0.737,0.645,1.784,55.33,0.87,5.2097,0.9,50.9,54.2,21.2,0,,0.02,Medium,20.0,0.7549999999999999,0.0910318224140682,0.699,53.89
2017-06-26,Brazil,Latin America,0.701,0.632,1.665,52.82,2.22,5.1188,-0.57,65.3,47.1,23.7,0,,0.06,Medium,20.0,0.715,0.08911270683631371,0.737,55.33
2017-07-03,Brazil,Latin America,0.65,0.595,1.558,49.62,2.22,5.1269,3.22,51.0,47.6,25.4,0,,0.17,Medium,20.0,0.69675,0.08788009960128482,0.701,52.82
2017-07-10,Brazil,Latin America,0.688,0.62,1.841,51.54,2.92,5.1875,1.63,47.7,38.8,22.2,0,,-0.46,Medium,20.0,0.6940000000000001,0.08830036320478342,0.65,49.62
2017-07-17,Brazil,Latin America,0.613,0.573,1.5,47.92,1.82,5.1971,1.55,43.8,47.5,29.6,0,,-0.2,Medium,20.0,0.663,0.09036525777803792,0.688,51.54
2017-07-24,Brazil,Latin America,0.667,0.603,1.5,49.98,1.86,5.2472,1.94,40.2,38.9,26.0,0,,0.41,Medium,20.0,0.6545,0.09548632728787272,0.613,47.92
2017-07-31,Brazil,Latin America,0.62,0.564,1.628,46.98,2.5,5.1436,4.76,40.8,51.8,25.8,0,,-0.1,Medium,20.0,0.647,0.09248095994050898,0.667,49.98
2017-08-07,Brazil,Latin America,0.689,0.621,1.5,51.66,2.46,5.158,2.04,47.8,43.8,29.9,0,,0.25,Medium,20.0,0.64725,0.09155058833749026,0.62,46.98
2017-08-14,Brazil,Latin America,0.558,0.505,1.5,42.29,2.59,5.1207,1.29,56.9,51.1,29.1,0,,-0.26,Medium,20.0,0.6335,0.10344374822966965,0.689,51.66
2017-08-21,Brazil,Latin America,0.582,0.533,1.5,44.13,1.87,5.1315,1.09,50.2,46.4,23.4,0,,0.76,Medium,20.0,0.61225,0.09853096154447885,0.558,42.29
2017-08-28,Brazil,Latin America,0.576,0.54,1.5,45.05,1.76,5.119,0.2,44.7,50.4,27.7,0,,0.76,Medium,20.0,0.60125,0.0892236867167212,0.582,44.13
2017-09-04,Brazil,Latin America,0.554,0.489,1.5,41.52,1.91,5.2168,1.02,48.0,48.6,29.9,0,,0.83,Medium,20.0,0.5675,0.08932819535498046,0.576,45.05
